geoid,supply
17031820604,0
17031820605,0
17031820606,4
17031820700,2
17031820800,1
17031820901,0
17031820902,1
17031821001,0
17031821002,2
17031821101,1
17031821102,11
17031821200,20
17031821300,0
17031821401,2
17031821402,0
17031821500,0
17031821600,9
17031821700,11
17031821800,43
17031821900,0
17031822000,8
17031822101,5
17031822102,80
17031822200,0
17031822301,0
17031822302,5
17031822400,2
17031822500,19
17031822601,0
17031822602,1
17031822701,0
17031822702,9
17031822801,4
17031822802,0
17031822900,7
17031823001,10
17031823002,0
17031823101,4
17031823102,0
17031823200,2
17031823302,1
17031823303,1
17031823304,4
17031823400,3
17031823500,1
17031823602,2
17031823603,2
17031823604,5
17031823605,5
17031823702,4
17031823703,1
17031823704,0
17031823705,1
17031823801,5
17031823803,5
17031823805,0
17031823806,4
17031823901,8
17031823903,22
17031823904,9
17031824003,4
17031824004,0
17031824005,2
17031824006,0
17031824105,0
17031824106,2
17031824107,3
17031824108,0
17031824113,1
17031824114,5
17031824115,20
17031824116,21
17031824117,5
17031824119,1
17031824120,46
17031824121,0
17031824122,3
17031824123,1
17031824300,0
17031824400,2
17031824503,0
17031824505,5
17031824506,0
17031824507,13
17031824601,0
17031824602,0
17031824701,1
17031824702,0
17031824800,2
17031824900,2
17031825000,23
17031825200,3
17031825302,0
17031825303,1
17031825304,5
17031825400,5
17031825501,0
17031825503,6
17031825504,18
17031825505,1
17031825600,1
17031825700,0
17031825801,0
17031825802,3
17031825803,3
17031825900,0
17031826000,1
17031826100,0
17031826201,1
17031826202,0
17031826301,1
17031826303,3
17031826304,0
17031826401,0
17031826402,0
17031826500,0
17031826600,0
17031826700,0
17031826800,0
17031826901,0
17031826902,0
17031827000,0
17031827100,0
17031827200,12
17031827300,0
17031827400,17
17031827500,1
17031827600,0
17031827700,0
17031827801,4
17031827802,1
17031827804,0
17031827805,0
17031827901,10
17031827902,0
17031828000,0
17031828100,2
17031828201,0
17031828202,1
17031828300,0
17031828401,0
17031828402,0
17031828503,1
17031828504,0
17031828505,0
17031828506,0
17031828601,1
17031828602,0
17031828701,1
17031828702,0
17031828801,14
17031828802,0
17031828900,11
17031829000,1
17031829100,0
17031829200,1
17031829301,0
17031829302,0
17031829401,0
17031829402,0
17031829500,0
17031829600,0
17031829700,5
17031829800,3
17031829901,0
17031829902,13
17031830001,0
17031830003,8
17031830004,3
17031830005,34
17031830006,2
17031830007,0
17031830008,0
17031830100,0
17031830201,0
17031830202,3
17031830300,0
